Many ubnormal (?) ocurred in this summer.〔この夏は異常現象が頻発した。〕,phenomena,phenomenon,ocalts,phenix,phenixes
His company is manufacturing musical (?).〔彼の会社は楽器を製造している。〕,instruments,instructions,instructors,installations,installments
For (?) do like this.〔たとえば、こうしてごらん。〕,example,examination,exocist,exchange,exotic
The man lived in (?) these days.〔男はその頃ぜいたくな暮らしをしていた。〕,luxury,luck,lack,lux,lacquer
The public was in (?) of his policy.〔大衆は彼の政策を支持した。〕,favor,flavor,fame,fever,favorite
The experiment failed of (?).〔その実験は必然的に失敗した。〕,necessity,university,velocity,sensitivity,sexuality
To tell the (?) Susan is a man.〔本当のことを言うと、スーザンは男だ。〕 ,truth,lie,trust,reality,hont
The human was just an ape in (?).〔ヒトも元々はサルにすぎなかった。〕,origin,virgin,orient,orientation,oracle
They will be saved by (?) of love.〔彼らは愛によって救われるでしょう。〕,means,meeting,meaning,meat,method
The officer is on (?) now.〔その警官は今勤務中です。〕,duty,dirty,destiny,debt,dusty
The museum is under (?) yet.〔博物館はまだ建設中です。〕,construction,instruction,demonstration,institution,building
I want to go to the sea (?) permitting.〔天気さえよければ海に行きたい。〕,weather,feather,heaven,atmosphere,weapon
Robert is a person of (?) so to say.〔ロバートは、いわゆる人格者だ。〕,character,charcoal,actor,charaban,chocolate
Lives are born in the (?) of water.〔生命は水の存在下に生まれる。〕,presence,present,presentation,pressure,pretend
As a (?) of fact Japan is a colony.〔実際のところ、日本は植民地だ。〕,matter,material,match,matching,mass
There will be a (?) of heavy snow tonight.〔今夜は大雪になる恐れがある。〕,threat,thread,throat,thrash,thrill
She heard her mother (?) suddenly.〔彼女は母国語を突然に聞いた。〕,tongue,lip,mouth,tooth,voice
Population (?) cause a war.〔人口爆発は戦争の原因となる。。〕,explosion,exploration,bomb,expedition,experiment
Many children are going to die of (?).〔多くの子供が餓死しようとしている。〕,hunger,hanger,hamburger,anger,hunter
Tokyo is often compared to a (?).〔東京はしばしば砂漠に例えられる。〕,desert,dessert,wasteland,deathland,solitary
This item will cause a (?).〔この商品は革命を起こすだろう。〕,revolution,evolution,revue,revolver,evidence
The news had an (?) on the world.〔そのニュースは世界に影響を与えた。〕,impact,compact,compac,emphasis,contact
There is no rules but has some (?).〔例外のない規則はない。〕,exceptions,conceptions,excuse,concentrations,examples
This affair would take a new (?).〔この事件は新しい様相を帯びてきた。〕,aspect,asbestos,aspirin,asparagus,asperity
The child has a (?) for golf.〔その子にはゴルフの才能がある。〕,genius,genuine,gene,general,gender
It is hard to (?) her from her dummy.〔彼女を偽者から見分けるのは難しい。〕,distinguish,discriminate,overlook,surfwatch,divide
I (?) the memory of my computer.〔私はコンピューターのメモリーを拡張した。〕,extended,expanded,exposed,exceeded,expected
The prisoner attempted to (?) suicide.〔その囚人は自殺を試みた。〕,commit,do,permit,coment,perform
